"Cell.ID","Species.Richness","EN.CR.Richness","SES.Mean","SES.SD","PD.Org.Mean","PD.Org.SD","PD.NoEN.Mean","PD.NoEN.SD","PD.Rnd.Mean","PD.Rnd.SD"
"Cell.ID.13906",74,3,1.38232270266403,0.0754445987330752,2009.87341906,51.3274464395227,1914.38040676,51.3027463083744,1959.42148404003,32.5907442298218
"Cell.ID.15032",82,3,-0.746503367632362,0.135961262933459,2021.10253909,51.5960487851198,2002.68653132,51.2491564466582,1980.27333130357,30.0103429182059
"Cell.ID.15033",77,4,1.52272567460973,0.16064845089184,1953.04953992,50.9648503619955,1842.61203832,49.8809997638221,1897.32867429534,35.9337210017426
"Cell.ID.15034",77,4,1.77607016909832,0.190985122479695,1965.16895109,49.9655418180382,1854.73144949,48.7661165018933,1911.989574272,32.2630124392494
"Cell.ID.15035",80,3,1.93357926089112,0.170547154883883,1982.27487888,53.8845552901548,1878.63219865,53.0708204228635,1939.35067653634,31.4041512676423
"Cell.ID.15349",52,3,3.73435607047255,0.104734210415942,1612.85283245,37.9340763312427,1436.25283245,37.9340763312427,1560.34307043636,33.2406907819597
"Cell.ID.15392",78,3,-0.708627243792033,0.148277699744453,1918.74910806,52.2763022807968,1900.33310029,51.9526005093917,1880.88070256702,27.4161907110084
"Cell.ID.15393",69,4,1.56889508055433,0.168845599810354,1810.50868017,46.5174326741377,1700.07117857,45.3768726531482,1755.29195001705,35.2127715348508
"Cell.ID.15394",71,4,1.79864867611204,0.180437652158754,1835.14823102,48.3425576016757,1724.71072942,47.1594137760759,1782.11833218604,31.9196129193876
"Cell.ID.15395",77,4,2.0599889643038,0.210398681116201,1906.92946996,54.2710489328433,1796.49196836,53.2561783198259,1857.60327128989,29.6925941946751
"Cell.ID.15396",81,3,-0.191032613077839,0.247730625761835,1850.25702004,56.7791706941735,1821.46951844,55.732403072342,1817.1356856128,22.6378628524696
"Cell.ID.15707",52,3,2.00012383352943,0.0652645190345406,1621.63421143,37.8277009851595,1489.75421143,37.8277009851595,1563.71902995907,36.9805349527109
"Cell.ID.15708",54,3,3.44853762125524,0.0792174927988977,1628.2167297,39.2083241027412,1451.6167297,39.2083241027412,1574.81086103636,35.7293716783665
"Cell.ID.15709",51,3,3.40101002249568,0.0845805376077568,1603.06402079,37.857435868131,1426.46402079,37.857435868131,1547.70468047781,35.6566009311054
"Cell.ID.15710",44,3,3.09124904172362,0.0693770458136842,1488.74398043,33.3849293166634,1312.14398043,33.3849293166634,1428.48873180824,37.6402804810804
"Cell.ID.15752",80,4,-0.90761245727174,0.139757456072579,1982.32786731,55.5183882868763,1959.3439362,55.2268955774283,1931.27787824213,30.9023207873536
"Cell.ID.15753",74,4,-0.598974521571934,0.189130745043107,1907.27215175,54.2757634141838,1873.91672681,53.3059390702456,1855.25471407763,31.143338927391
"Cell.ID.15754",76,4,-0.454294973119093,0.231642244119715,1877.93295485,60.5013766476408,1844.57752991,59.5884234483741,1832.85035325481,25.7445081188584
"Cell.ID.15755",71,3,-0.284849407452472,0.249855623662809,1730.40204334,58.6477529521732,1701.61454174,57.7220543205945,1695.06655117372,23.0183417049423
"Cell.ID.15756",72,3,-0.186763023822899,0.276035879912186,1733.40464103,57.5194358614373,1704.61713943,56.8719979878713,1700.57940325344,21.3157904353015
"Cell.ID.15758",71,3,1.77046132907649,0.206667185921374,1833.49387831,51.3620055119759,1746.13119808,50.4699388851982,1794.50026413274,27.3459779840323
"Cell.ID.15759",74,3,1.88934874867612,0.209679369404246,1846.26931833,53.0933296195188,1758.9066381,52.3089469336844,1809.2234137132,26.6554386193404
"Cell.ID.16067",53,3,1.75961689313776,0.0653766822960754,1749.59938337,40.8966416420696,1617.71938337,40.8966416420696,1684.10529892299,37.7222836356944
"Cell.ID.16068",50,3,2.88811471836007,0.0655854342709488,1635.26728251,36.9375914296866,1458.66728251,36.9375914296866,1570.22420060362,38.6290125794854
"Cell.ID.16110",78,3,-0.475601115889082,0.188053299935971,1943.26263435,57.9700620493297,1916.70203078,57.2238534555142,1903.07611270618,28.6615324831122
"Cell.ID.16112",74,3,-0.56435723439862,0.196557159240873,1957.83049326,53.6583986209683,1931.26988969,52.863790305634,1916.17475905564,26.7159364318459
"Cell.ID.16113",72,3,-0.474927011007744,0.194478045126271,1882.70306483,55.0816939464325,1856.14246126,54.3236056307823,1843.03399022583,27.5840060885871
"Cell.ID.16114",73,4,-0.515097234224144,0.214920507678609,1823.5149755,60.2657100149319,1790.15955056,59.4239521465133,1775.84520638854,27.7644887995956
"Cell.ID.16115",71,4,1.48146203107421,0.201097431504126,1790.66820482,56.5560006657534,1696.51070322,55.6039095069949,1742.04057296101,30.7626570404744
"Cell.ID.16116",62,4,1.08994773547053,0.181231939451116,1692.15486574,53.4323289953528,1597.99736414,52.8912302169103,1636.5532507584,35.4027052711106
"Cell.ID.16117",63,3,1.68373801962511,0.212482666746275,1682.49482366,55.6110232842182,1595.13214343,55.230841056977,1643.04517878429,28.4931899502016
"Cell.ID.16118",68,3,1.97179226594905,0.234096373017317,1720.04125814,54.27821179983,1632.67857791,53.8948099454142,1685.28785976194,26.7271738718186
"Cell.ID.16119",70,3,2.4287898342255,0.28844448539757,1697.08441567,55.5511865078678,1609.72173544,55.2567030920298,1665.0859720611,22.8543724653286
"Cell.ID.16468",65,3,-0.241879217265374,0.311818477750981,1844.09534189,50.3726593136858,1805.33911923,49.8461890811219,1798.14143521726,29.9460753749366
"Cell.ID.16469",67,3,-0.19316951064145,0.313294272897562,1863.83313282,52.7058775137925,1825.07691016,52.2073407943226,1819.37889959953,29.8331004678292
"Cell.ID.16470",68,3,-0.064976765544761,0.286503595593936,1756.27888328,56.2106724433074,1717.52266062,55.8308061914227,1715.5150997904,32.2334998433574
"Cell.ID.16474",68,3,-0.376095995376398,0.214756151457668,1781.92380591,57.5634339587764,1755.36320234,57.3231260484109,1745.62332812767,25.8328741593838
"Cell.ID.16475",71,3,1.57477500999173,0.190452252716058,1841.35916994,59.8216158769707,1753.99648971,59.5772056500355,1801.07631478114,29.910976019373
"Cell.ID.16476",65,3,1.75770093375819,0.215165346246739,1748.0018208,53.4751946192258,1660.63914057,53.0910065099488,1709.39362954881,27.7737763621789
"Cell.ID.16477",61,3,1.51432645409526,0.194640227646245,1701.2939628,52.9914713727255,1613.93128257,52.5582459777756,1659.34308564049,30.0126332551675
"Cell.ID.16478",61,3,1.3821765363144,0.1827146075571,1700.6432715,53.0212640367929,1613.28059127,52.5919199106664,1657.2322402488,31.8179311619932
"Cell.ID.16479",63,3,1.75434906492452,0.209663394060062,1711.37350333,53.2361416235745,1624.0108231,52.8194318601609,1673.35248087146,28.1471557692218
"Cell.ID.16480",63,3,1.76246665514095,0.222425458986826,1691.128743,53.0829264649952,1603.71024662,52.9145880525465,1653.38447025389,28.2305677800869
"Cell.ID.16783",92,3,-0.924051907491123,0.36409526834242,2278.40811749,63.3651470995812,2263.82325822,61.2983948214533,2238.88350701716,27.009427843169
"Cell.ID.16828",64,3,2.64563545984806,0.111230641616373,1790.57207609,48.2555202165419,1649.03891177,48.1874566447198,1741.35930219955,34.9062536459413
"Cell.ID.16829",64,4,2.64258481199275,0.219475726822698,1887.2626725,47.5376262299424,1706.05437318,46.881033166283,1815.03648346079,41.2355590985987
"Cell.ID.16830",62,4,2.46193753762972,0.20543236654057,1811.41590471,48.9064754768528,1630.20760539,48.2433206924912,1737.60421812994,43.6198364709237
"Cell.ID.16831",61,3,2.58546117642662,0.0831130912210547,1774.40528929,48.7339476496572,1617.72212497,48.661291610666,1720.75405557548,39.8537619395583
"Cell.ID.16839",57,3,1.35976773110731,0.173172013975161,1641.53922766,50.1898388428235,1554.12073128,50.0493090520417,1598.22893220798,32.4526572851073
"Cell.ID.16840",56,3,1.37540633328725,0.182394244523309,1636.47400663,50.0291234620576,1549.05551025,49.860578248984,1593.75657184636,32.5221655039334
"Cell.ID.16841",58,3,1.68970228003421,0.223504924109116,1658.8911146,51.0463863901979,1571.47261822,50.9745149785741,1620.0819698143,28.8265630412072
"Cell.ID.17188",57,3,2.22358302720761,0.132894868669023,1735.78723815,37.0050998074024,1610.53407383,36.8687818746996,1683.0076421781,32.6231436414879
"Cell.ID.17189",58,3,2.51540088229447,0.091324553139154,1770.06242115,37.6987510644698,1613.37925683,37.5750629392679,1709.93819920519,38.3941988722349
"Cell.ID.17190",52,3,2.14065978439515,0.0870893048576657,1661.6697135,34.1098376466079,1504.98654918,33.9635276039273,1596.95603889406,42.9699951783595
"Cell.ID.17191",54,3,2.2124132833949,0.0778326671442216,1712.25408778,35.2509819174578,1555.57092346,35.0840244193146,1646.71707168887,41.200015272242
"Cell.ID.17504",96,3,1.19341394634648,0.457020170939839,2295.48481602,63.8943887646441,2224.136796,61.1071610155285,2256.6923320726,27.2284211267506
"Cell.ID.17505",102,3,0.966261176323691,0.423591571553717,2430.61021044,65.9294729596946,2359.26219042,63.3043232924169,2388.21711381374,29.9901525135055
"Cell.ID.17542",56,3,0.916959479001016,0.275502770679998,1705.87917635,38.187099182804,1621.55529635,36.9916715591614,1652.68039901957,33.9720083553483
"Cell.ID.17543",55,3,0.931232792116998,0.283732440524684,1677.78798486,38.1456786040946,1593.46410486,37.0409270058499,1624.46986585099,33.3351536917453
"Cell.ID.17544",51,3,2.19474216036835,0.127712413202458,1588.0644071,35.0817019862355,1462.81124278,34.876584518876,1533.15919259777,32.0742102513416
"Cell.ID.17545",51,3,2.09111440674968,0.124294735725632,1589.73429923,36.5606558343972,1464.48113491,36.3630617640366,1533.71173356987,33.1280156100012
"Cell.ID.17864",98,3,0.494093522751438,0.223130312375046,2351.68662178,61.9755327492019,2295.7780782,60.2245023301641,2309.53188620496,27.8245644185932
"Cell.ID.17865",99,3,0.450712530418996,0.212758648302277,2406.03385216,60.6550211564054,2350.37095875,58.9629851640353,2363.81746576367,29.8779873393992
"Cell.ID.17913",56,3,0.965341037773821,0.102323768526877,1636.88994468,43.7065949569136,1557.28885702,43.5347064610881,1590.96006261394,34.8974344373367
"Cell.ID.17914",60,4,1.46524183498853,0.148464212915187,1717.97571958,44.5710479520814,1618.68463192,44.4152141545586,1664.18662923256,31.1009086028084
"Cell.ID.17915",57,3,1.44731107141518,0.109395219633268,1685.91228213,40.4364527325647,1591.18911781,40.2483129359939,1638.75706191339,32.8863830404139
"Cell.ID.18269",46,3,0.600363728715385,0.113063503594397,1498.12679911,34.6403234449469,1417.41479228,34.3043385868689,1441.42909830108,40.0185214016519
"Cell.ID.18270",48,3,0.612814893610204,0.110888679516895,1513.67452047,36.3632331913812,1432.96251364,36.0682794073713,1457.85934291476,40.6465349002148
"Cell.ID.18271",49,3,0.494592581519956,0.114714025387257,1556.28894655,39.8349735975798,1475.57693972,39.5920426899875,1495.76783643164,40.8660605643475
"Cell.ID.18272",50,4,0.234965264346791,0.120032177540192,1570.9698088,36.9884000217908,1485.68987863,36.7340325010715,1495.84268131087,43.4063963327296
"Cell.ID.18273",58,5,0.24764316466966,0.184232148419997,1672.22969788,46.4293168463678,1579.26744229,43.8676807957149,1590.43358500346,45.1674818906397
"Cell.ID.18274",62,6,0.723683575169813,0.225067256206196,1752.66547278,47.2550416152017,1640.01321719,44.7571800148114,1667.40919487733,37.8893874657538
"Cell.ID.18275",59,3,1.51801394276134,0.11994651918268,1739.18964531,43.4960270164377,1644.46648099,43.4151835190916,1691.86514982603,31.2392943274298
"Cell.ID.18630",48,3,0.495693050051267,0.112393012392914,1527.73672513,36.3713180996024,1447.0247183,36.0641715984165,1467.36651367286,41.0345669903938
"Cell.ID.18631",48,3,0.455829569858428,0.110219095257544,1556.52374454,38.694745072054,1475.81173771,38.44960785572,1494.59930654977,41.2281353117782
"Cell.ID.18632",48,3,0.378745342954598,0.114646115926593,1594.1479962,35.7580313041677,1513.43598937,35.495181424209,1528.80292140586,40.620217865727
